@relation 'cleansed_data-weka.filters.unsupervised.attribute.Remove-R7-8,11-12,18,24,29,32,39,54,57,67-70-weka.filters.unsupervised.attribute.Remove-R57-weka.filters.unsupervised.attribute.Remove-R20,49'

@attribute 2B_avg numeric
@attribute 2B numeric
@attribute BB numeric
@attribute HR numeric
@attribute GIDP_avg numeric
@attribute IBB numeric
@attribute height numeric
@attribute HR_avg numeric
@attribute bats {R,L,B}
@attribute Hrecent numeric
@attribute 3B numeric
@attribute AB_avg numeric
@attribute BB_avg numeric
@attribute Grecent numeric
@attribute salary_avg numeric
@attribute SH_avg numeric
@attribute GIDP numeric
@attribute weight numeric
@attribute IBBrecent numeric
@attribute weight_avg numeric
@attribute birthYear numeric
@attribute 2Brecent numeric
@attribute GIDPrecent numeric
@attribute heightrecent numeric
@attribute SFrecent numeric
@attribute R_avg numeric
@attribute salaryrecent numeric
@attribute SHrecent numeric
@attribute AB numeric
@attribute G numeric
@attribute AB_std numeric
@attribute Rrecent numeric
@attribute H numeric
@attribute SOrecent numeric
@attribute num_years_in_league numeric
@attribute IBB_avg numeric
@attribute yearID numeric
@attribute R numeric
@attribute weightrecent numeric
@attribute RBI numeric
@attribute 3Brecent numeric
@attribute RBI_avg numeric
@attribute H_avg numeric
@attribute salary numeric
@attribute 3B_avg numeric
@attribute BBrecent numeric
@attribute age numeric
@attribute G_avg numeric
@attribute RBIrecent numeric
@attribute SO_avg numeric
@attribute ABrecent numeric
@attribute SH numeric
@attribute SO numeric
@attribute SF_avg numeric
@attribute SF numeric
@attribute height_avg numeric
@attribute HRrecent numeric

@data
6,10,15,0,8,1,73,0,R,42,1,208,22,70,545000,4,9,175,1,175,1955,6,8,73,2,12,545000,4,160,64,0,12,36,12,8,1,1986,11,175,13,0,20,42,565000,0,22,31,70,20,12,208,4,10,2,1,73,0
7,8,15,2,5,4,73,3,L,40,0,170,18,101,800000,0,2,195,4,195,1948,7,5,73,1,16,800000,0,122,97,0,16,38,22,15,4,1986,13,195,14,0,21,40,769452,0,18,38,101,21,22,170,0,24,1,1,73,3
0,0,0,0,0,0,74,0,L,1,0,9,1,60,150000,1,0,200,0,200,1960,0,0,74,0,0,150000,1,16,57,0,0,2,3,3,0,1986,2,200,1,0,1,1,200000,0,1,26,60,1,3,9,1,7,0,0,74,0
0,0,1,0,0,0,70,0,R,1,0,5,0,59,772000,1,0,175,0,175,1947,0,0,70,0,1,772000,1,6,61,0,1,1,1,17,0,1986,0,175,0,0,1,1,786667,0,0,39,59,1,1,5,1,1,0,0,70,0
15,12,29,8,13,2,76,17,R,130,0,492,44,138,250000,1,13,195,4,195,1955,15,13,76,2,58,250000,1,265,106,0,58,68,76,6,4,1986,26,195,30,2,72,130,425000,2,44,31,138,72,76,492,1,39,2,2,76,17
25,22,52,27,18,8,73,27,R,129,0,483,50,130,1500000,0,16,195,4,195,1957,25,18,73,6,61,1500000,0,517,141,0,61,141,57,8,4,1986,70,195,87,3,89,129,1800000,3,50,29,130,89,57,483,0,72,6,10,73,27
21,16,66,4,11,14,69,5,R,102,1,439,56,142,455000,7,5,150,2,150,1957,21,11,69,6,51,455000,7,408,143,0,51,94,54,8,2,1986,42,150,36,0,39,102,505000,0,56,29,142,39,54,439,6,74,6,4,69,5
1,3,4,0,2,0,73,0,R,14,0,90,3,39,407500,11,2,195,0,195,1953,1,2,73,1,9,407500,11,83,40,0,9,16,18,7,0,1986,8,195,7,0,8,14,687500,0,3,33,39,8,18,90,9,14,1,0,73,0
0,0,1,0,1,0,77,0,R,1,0,14,0,17,275000,1,0,195,0,195,1959,0,1,77,0,0,275000,1,16,40,0,0,2,7,3,0,1986,3,195,0,0,0,1,225000,0,0,27,17,0,7,14,1,9,0,0,77,0
20,1,1,0,17,1,69,17,R,85,0,383,18,123,155500,0,0,196,2,196,1960,20,17,69,5,45,155500,0,10,5,0,45,2,57,5,2,1986,1,196,0,1,49,85,257500,1,18,26,123,49,57,383,0,1,5,0,69,17
32,29,75,29,14,5,76,37,R,185,7,616,90,162,1625000,0,10,210,15,210,1956,32,14,76,5,118,1625000,0,614,160,0,118,163,141,10,15,1986,89,210,83,2,111,185,1825000,2,90,30,162,111,141,616,0,141,5,1,76,37
19,24,83,5,10,6,72,3,L,112,3,412,51,134,616667,1,11,175,6,175,1956,19,10,72,2,30,616667,1,503,151,0,30,136,38,9,6,1986,62,175,48,4,35,112,825000,4,51,30,134,35,38,412,4,40,2,4,72,3
1,3,1,1,2,0,73,0,R,4,0,36,0,24,375000,5,1,195,0,195,1957,1,2,73,0,1,375000,5,66,35,0,1,12,10,8,0,1986,3,195,6,0,0,4,390000,0,0,29,24,0,10,36,10,17,0,0,73,0
25,21,21,8,21,1,72,5,R,141,1,568,20,138,750000,2,16,170,1,170,1958,25,21,72,5,54,750000,2,496,134,0,54,119,63,6,1,1986,57,170,33,4,58,141,825000,4,20,28,138,58,63,568,7,60,5,3,72,5
5,11,14,6,2,1,69,1,R,40,0,139,9,59,435000,2,0,175,0,175,1955,5,2,69,2,18,435000,2,200,92,0,18,57,10,8,0,1986,23,175,14,0,15,40,470000,0,9,31,59,15,10,139,2,26,2,2,69,1
28,5,12,4,17,5,71,12,B,144,0,528,57,143,1000000,1,1,193,9,193,1949,28,17,71,5,60,1000000,1,127,76,0,60,32,32,18,9,1986,14,193,25,2,76,144,1000000,2,57,37,143,76,32,528,0,14,5,4,71,12
0,0,0,0,0,0,74,0,R,0,0,4,0,58,1354167,0,0,190,0,190,1953,0,0,74,0,0,1354167,0,1,16,0,0,0,1,10,0,1986,0,190,0,0,0,0,1729167,0,0,33,58,0,1,4,0,1,0,0,74,0
16,9,63,15,14,5,73,19,R,105,0,426,49,131,350000,1,9,180,6,180,1956,16,14,73,2,47,350000,1,359,114,0,47,80,85,6,6,1986,45,180,48,3,55,105,575000,3,49,30,131,55,85,426,2,73,2,3,73,19
14,11,14,5,11,0,72,15,L,110,0,398,40,122,800000,0,4,190,11,190,1954,14,11,72,2,62,800000,0,137,40,0,62,37,66,12,11,1986,17,190,14,6,43,110,750000,6,40,32,122,43,66,398,1,26,2,1,72,15
13,15,40,6,16,1,71,8,R,125,0,411,34,132,365000,9,12,150,3,150,1950,13,16,71,1,54,365000,9,343,113,0,54,103,46,15,3,1986,48,150,36,5,42,125,450000,5,34,36,132,42,46,411,2,49,1,6,71,8
19,15,45,13,2,0,72,12,R,92,1,362,50,132,512500,5,5,190,0,190,1949,19,2,72,2,54,512500,5,327,122,0,54,68,87,17,0,1986,42,190,29,0,52,92,442066,0,50,37,132,52,87,362,7,78,2,0,72,12
8,13,23,8,5,1,70,7,L,58,1,233,37,101,375000,2,2,165,2,165,1950,8,5,70,1,35,375000,2,160,94,0,35,39,31,13,2,1986,18,165,31,3,36,58,400000,3,37,36,101,36,31,233,0,31,1,4,70,7
8,0,1,0,3,0,74,11,L,51,0,217,46,103,483333,1,0,210,0,210,1952,8,3,74,0,31,483333,1,2,3,0,31,0,48,10,0,1986,0,210,0,0,18,51,450000,0,46,34,103,18,48,217,0,0,0,0,74,11
5,3,3,0,9,0,71,2,R,60,0,275,12,103,130000,9,3,175,0,175,1960,5,9,71,1,33,130000,9,145,61,0,33,27,37,3,0,1986,8,175,4,2,21,60,167500,2,12,26,103,21,37,275,2,27,1,1,71,2
22,18,37,11,10,2,73,9,R,144,0,492,39,121,725000,1,12,175,0,175,1948,22,10,73,6,69,725000,1,491,130,0,69,141,95,14,0,1986,77,175,47,4,48,144,725000,4,39,38,121,48,95,492,4,71,6,5,73,9
12,13,53,23,7,1,73,23,L,118,1,448,53,124,1090000,0,20,185,6,185,1952,12,7,73,6,59,1090000,0,397,112,0,59,114,100,12,6,1986,67,185,67,1,68,118,1190000,1,53,34,124,68,100,448,0,59,6,4,73,23
37,25,78,17,8,7,74,31,B,173,1,583,84,156,1472819,0,17,190,12,190,1956,37,8,74,8,111,1472819,0,495,137,0,111,151,68,9,12,1986,61,190,84,1,124,173,925814,1,84,30,156,124,68,583,0,49,8,5,74,31
4,4,11,2,1,0,71,1,R,6,0,75,8.5,21,260000,1.5,2,165,0,165,1958,1,1,71,1,11.5,260000,1,136,74,43,3,31,4,6,0.5,1986,9,165,18,0,9,20.5,285000,0.5,2,28,36,3,8.5,32,1,23,1,2,71,1
21,4,15,8,10,0,70,18,R,110,0,359,10,105,128500,2,7,190,0,190,1957,21,10,70,1,55,128500,2,210,81,0,55,37,69,6,0,1986,15,190,19,1,48,110,310000,1,10,29,105,48,69,359,3,50,1,0,70,18
