@relation 'cleansed_data-weka.filters.unsupervised.attribute.Remove-R2-4,6,15,22,38,40,43,48,50,65-66,73-weka.filters.unsupervised.attribute.Remove-R49-weka.filters.unsupervised.attribute.Remove-R20'

@attribute 2B_avg numeric
@attribute GIDP_avg numeric
@attribute 2B_std numeric
@attribute HR_std numeric
@attribute height numeric
@attribute HR_avg numeric
@attribute SO_std numeric
@attribute SF_std numeric
@attribute bats {R,L,B}
@attribute Hrecent numeric
@attribute AB_avg numeric
@attribute BB_avg numeric
@attribute BB_std numeric
@attribute Grecent numeric
@attribute salary_avg numeric
@attribute SH_avg numeric
@attribute weight numeric
@attribute salary_std numeric
@attribute IBBrecent numeric
@attribute weight_avg numeric
@attribute birthYear numeric
@attribute H_std numeric
@attribute 2Brecent numeric
@attribute GIDPrecent numeric
@attribute G_std numeric
@attribute heightrecent numeric
@attribute SFrecent numeric
@attribute R_avg numeric
@attribute salaryrecent numeric
@attribute SHrecent numeric
@attribute RBI_std numeric
@attribute AB_std numeric
@attribute Rrecent numeric
@attribute SOrecent numeric
@attribute num_years_in_league numeric
@attribute IBB_avg numeric
@attribute yearID numeric
@attribute weightrecent numeric
@attribute 3Brecent numeric
@attribute RBI_avg numeric
@attribute H_avg numeric
@attribute 3B_std numeric
@attribute salary numeric
@attribute 3B_avg numeric
@attribute R_std numeric
@attribute BBrecent numeric
@attribute age numeric
@attribute G_avg numeric
@attribute RBIrecent numeric
@attribute SO_avg numeric
@attribute ABrecent numeric
@attribute height_std numeric
@attribute GIDP_std numeric
@attribute IBB_std numeric
@attribute weight_std numeric
@attribute SF_avg numeric
@attribute SH_std numeric
@attribute height_avg numeric
@attribute HRrecent numeric

@data
6,8,0,0,73,0,0,0,R,42,208,22,0,70,545000,4,175,0,1,175,1955,0,6,8,0,73,2,12,545000,4,0,0,12,12,8,1,1986,175,0,20,42,0,565000,0,0,22,31,70,20,12,208,0,0,0,0,2,0,73,0
7,5,0,0,73,3,0,0,L,40,170,18,0,101,800000,0,195,0,4,195,1948,0,7,5,0,73,1,16,800000,0,0,0,16,22,15,4,1986,195,0,21,40,0,769452,0,0,18,38,101,21,22,170,0,0,0,0,1,0,73,3
15,13,0,0,76,17,0,0,R,130,492,44,0,138,250000,1,195,0,4,195,1955,0,15,13,0,76,2,58,250000,1,0,0,58,76,6,4,1986,195,2,72,130,0,425000,2,0,44,31,138,72,76,492,0,0,0,0,2,0,76,17
25,18,0,0,73,27,0,0,R,129,483,50,0,130,1500000,0,195,0,4,195,1957,0,25,18,0,73,6,61,1500000,0,0,0,61,57,8,4,1986,195,3,89,129,0,1800000,3,0,50,29,130,89,57,483,0,0,0,0,6,0,73,27
21,11,0,0,69,5,0,0,R,102,439,56,0,142,455000,7,150,0,2,150,1957,0,21,11,0,69,6,51,455000,7,0,0,51,54,8,2,1986,150,0,39,102,0,505000,0,0,56,29,142,39,54,439,0,0,0,0,6,0,69,5
32,14,0,0,76,37,0,0,R,185,616,90,0,162,1625000,0,210,0,15,210,1956,0,32,14,0,76,5,118,1625000,0,0,0,118,141,10,15,1986,210,2,111,185,0,1825000,2,0,90,30,162,111,141,616,0,0,0,0,5,0,76,37
19,10,0,0,72,3,0,0,L,112,412,51,0,134,616667,1,175,0,6,175,1956,0,19,10,0,72,2,30,616667,1,0,0,30,38,9,6,1986,175,4,35,112,0,825000,4,0,51,30,134,35,38,412,0,0,0,0,2,0,72,3
25,21,0,0,72,5,0,0,R,141,568,20,0,138,750000,2,170,0,1,170,1958,0,25,21,0,72,5,54,750000,2,0,0,54,63,6,1,1986,170,4,58,141,0,825000,4,0,20,28,138,58,63,568,0,0,0,0,5,0,72,5
5,2,0,0,69,1,0,0,R,40,139,9,0,59,435000,2,175,0,0,175,1955,0,5,2,0,69,2,18,435000,2,0,0,18,10,8,0,1986,175,0,15,40,0,470000,0,0,9,31,59,15,10,139,0,0,0,0,2,0,69,1
28,17,0,0,71,12,0,0,B,144,528,57,0,143,1000000,1,193,0,9,193,1949,0,28,17,0,71,5,60,1000000,1,0,0,60,32,18,9,1986,193,2,76,144,0,1000000,2,0,57,37,143,76,32,528,0,0,0,0,5,0,71,12
