@relation 'cleansed_data-weka.filters.unsupervised.attribute.Remove-R10,14,22'

@attribute yearID numeric
@attribute G numeric
@attribute R numeric
@attribute H numeric
@attribute 2B numeric
@attribute 3B numeric
@attribute HR numeric
@attribute RBI numeric
@attribute salary numeric
@attribute weight numeric
@attribute height numeric
@attribute bats {R,L,B}
@attribute AB numeric
@attribute SO numeric
@attribute BB numeric
@attribute IBB numeric
@attribute SH numeric
@attribute SF numeric
@attribute GIDP numeric
@attribute R_avg numeric
@attribute H_avg numeric
@attribute 2B_avg numeric
@attribute 3B_avg numeric
@attribute HR_avg numeric
@attribute salary_avg numeric
@attribute weight_avg numeric
@attribute height_avg numeric
@attribute AB_avg numeric
@attribute SO_avg numeric
@attribute BB_avg numeric
@attribute IBB_avg numeric
@attribute SH_avg numeric
@attribute SF_avg numeric
@attribute GIDP_avg numeric
@attribute G_avg numeric
@attribute RBI_avg numeric
@attribute num_years_in_league numeric
@attribute age numeric

@data
1985,20,0,0,0,0,0,0,870000,225,77,R,17,7,0,0,0,0,0,0,0,0,0,0,870000,225,77,17,7,0,0,0,0,0,20,0,9,30
1985,37,3,5,0,0,0,1,550000,200,75,R,64,22,1,0,6,0,0,3,5,0,0,0,550000,200,75,64,22,1,0,6,0,0,37,1,4,28
1985,70,12,42,6,0,0,20,545000,175,73,R,208,12,22,1,4,2,8,12,42,6,0,0,545000,175,73,208,12,22,1,4,2,8,70,20,7,30
1985,66,1,3,0,0,1,2,633333,185,73,R,13,5,1,0,1,0,0,1,3,0,0,1,633333,185,73,13,5,1,0,1,0,0,66,2,9,32
1985,96,15,61,9,0,3,25,625000,192,71,R,282,25,29,1,0,4,15,15,61,9,0,3,625000,192,71,282,25,29,1,0,4,15,96,25,10,31
1985,101,16,40,7,0,3,21,800000,195,73,L,170,22,18,4,0,1,5,16,40,7,0,3,800000,195,73,170,22,18,4,0,1,5,101,21,14,37
1985,60,0,1,0,0,0,1,150000,200,74,L,9,3,1,0,1,0,0,0,1,0,0,0,150000,200,74,9,3,1,0,1,0,0,60,1,2,25
1985,46,0,0,0,0,0,0,483333,200,75,L,4,0,0,0,1,0,0,0,0,0,0,0,483333,200,75,4,0,0,0,1,0,0,46,0,14,33
1985,59,1,1,0,0,0,1,772000,175,70,R,5,1,0,0,1,0,0,1,1,0,0,0,772000,175,70,5,1,0,0,1,0,0,59,1,16,38
1985,138,58,130,15,2,17,72,250000,195,76,R,492,76,44,4,1,2,13,58,130,15,2,17,250000,195,76,492,76,44,4,1,2,13,138,72,5,30
