@relation 'cleansed_data-weka.filters.unsupervised.attribute.Remove-R10,14,22_predicted'

@attribute yearID numeric
@attribute G numeric
@attribute R numeric
@attribute H numeric
@attribute 2B numeric
@attribute 3B numeric
@attribute predictedHR numeric
@attribute HR numeric
@attribute RBI numeric
@attribute salary numeric
@attribute weight numeric
@attribute height numeric
@attribute bats {R,L,B}
@attribute AB numeric
@attribute SO numeric
@attribute BB numeric
@attribute IBB numeric
@attribute SH numeric
@attribute SF numeric
@attribute GIDP numeric
@attribute R_avg numeric
@attribute H_avg numeric
@attribute 2B_avg numeric
@attribute 3B_avg numeric
@attribute HR_avg numeric
@attribute salary_avg numeric
@attribute weight_avg numeric
@attribute height_avg numeric
@attribute AB_avg numeric
@attribute SO_avg numeric
@attribute BB_avg numeric
@attribute IBB_avg numeric
@attribute SH_avg numeric
@attribute SF_avg numeric
@attribute GIDP_avg numeric
@attribute G_avg numeric
@attribute RBI_avg numeric
@attribute num_years_in_league numeric
@attribute age numeric

@data
2002,106,30,55,12,1,3.166511,6,21,775000,190,71,R,234,41,21,0,5,4,9,25.181818,42.818182,9.181818,2.181818,4.181818,325272.727273,190,71,167.454545,31.454545,13.727273,0.454545,2.727273,1.818182,2.909091,70.363636,19.090909,12,36
2009,160,92,162,42,3,30.43161,31,106,3100000,200,74,L,596,116,72,10,0,4,19,77.333333,149.666667,37.333333,3.333333,21.333333,1304000,200,74,522.666667,90.666667,59,7.333333,0.333333,6.333333,11.666667,151.333333,82.333333,3,27
2013,129,84,147,24,0,24.093295,25,82,16571429,240,77,R,462,101,60,3,0,5,9,62.4,103.9,20.7,1.8,17,5420428.5,240,77,379.6,103.4,53.1,2.8,0.4,3.3,5.7,112,57.1,11,34
1993,147,52,161,26,1,10.54292,12,73,2400000,195,74,R,530,29,29,9,0,5,15,39.142857,105,21.428571,0.714286,6.428571,911071.428571,195,74,343.714286,17.571429,14.714286,3.428571,1.142857,4.428571,11.142857,103.428571,48.142857,14,34
1991,127,37,88,11,4,1.800381,1,26,775000,160,70,B,366,48,67,13,4,3,5,38.833333,100.833333,13.166667,3,1.833333,388166.666667,160,70,371.333333,40.333333,56.833333,7.5,6,4.333333,6.833333,131,32.333333,8,28
2002,135,41,73,15,4,9.045877,9,38,200000,175,73,L,287,79,14,3,5,3,6,41,73,15,4,9,200000,175,73,287,79,14,3,5,3,6,135,38,2,25
2009,7,1,4,0,0,1.066008,1,3,400000,200,73,L,11,5,2,0,0,0,0,1,4,0,0,1,400000,200,73,11,5,2,0,0,0,0,7,3,1,30
1986,111,38,106,17,0,11.074622,10,60,841667,180,71,R,379,43,30,4,1,6,7,35.666667,82.333333,14.666667,0.333333,7.333333,930889,180,71,297.333333,32,26.333333,2,1.333333,3.333333,7.333333,85,38.666667,13,35
2009,152,91,149,28,7,26.362194,27,91,415900,210,75,B,501,104,91,4,1,4,7,43.666667,71.333333,13.333333,3,13.333333,398366.666667,210,75,265.333333,54,39.666667,1.666667,1,2.666667,4,81.666667,43.333333,3,28
2005,147,73,167,33,0,16.725584,20,80,372100,210,74,B,547,78,63,9,0,7,16,75,157,35.5,0.5,21.5,338300,210,74,533.5,73.5,61.5,10,0,6.5,16,144,94,3,27
2010,33,2,13,2,0,-0.418332,1,6,416500,215,72,B,87,14,8,1,0,1,7,11,32.5,8,0,2,408250,215,72,146.5,23.5,12.5,1.5,0.5,0.5,9,48,16,1,28
1987,34,0,0,0,0,-0.164278,0,0,1000000,185,72,R,0,0,0,0,0,0,0,0.5,0,0,0,0,1000000,185,72,0,0,0,0,0,0,0,36,0,8,30
2004,33,0,0,0,0,0.258939,0,1,332500,180,72,L,4,3,0,0,1,0,0,0,0.5,0,0,0,320750,180,72,3,1.5,0.5,0,1,0,0,33,0.5,2,27
2001,6,3,4,1,0,0.009249,0,0,200000,215,77,L,6,0,2,0,2,0,0,3,4,1,0,0,200000,215,77,6,0,2,0,2,0,0,6,0,0,23
2001,3,0,0,0,0,0.027331,0,0,277500,245,75,R,0,0,0,0,0,0,0,0,0,0,0,0,238750,245,75,0,0,0,0,0,0,0,29.5,0,2,26
2013,160,71,141,40,2,22.83647,23,80,498000,240,75,L,606,127,76,7,0,2,12,71,141,40,2,23,498000,240,75,606,127,76,7,0,2,12,160,80,2,24
2003,121,49,89,20,1,17.115009,20,57,900000,200,69,L,305,64,45,3,0,2,7,48.6,80.8,17.3,0.7,17.6,1044500,200,69,303,62.7,43.2,3.1,0.5,2.3,5.9,103.3,56.3,11,35
2002,50,1,2,0,0,0.182989,0,0,705000,205,72,R,19,10,0,0,1,0,0,0.25,0.5,0,0,0,338125,205,72,5,2.75,0,0,0.25,0,0,32.75,0,5,30
2012,135,65,101,26,0,24.667297,23,69,7833333,220,74,R,457,159,73,2,0,2,19,82.6,119.4,25.6,1.4,32.8,2963799.8,220,74,521.4,198.6,74.2,2.8,0.2,4,11.2,148.4,87.8,5,29
2006,115,61,119,27,3,16.614816,14,68,9400000,185,73,R,407,69,55,8,0,3,9,77.866667,142.333333,32.4,2.933333,22.6,4495766.666667,185,73,489.933333,90.533333,46.8,3.733333,0.666667,6.133333,12.733333,131,89.933333,14,38
2004,32,6,10,4,0,-0.060596,0,1,362500,240,76,R,51,17,2,0,8,0,2,4.5,9.5,2.5,0,0,331250,240,76,56.5,17.5,2,0,6.5,0,1.5,32.5,1,2,24
2005,28,5,10,2,2,0.105768,0,6,350000,182,72,R,45,12,3,0,5,0,0,5,10,2,2,0,350000,182,72,45,12,3,0,5,0,0,28,6,3,27
2008,117,48,98,14,2,11.459496,13,59,1400000,195,74,R,402,65,27,2,0,4,16,40.142857,77.428571,15,1.714286,8,1094285.714286,195,74,296,60,26.285714,1.428571,0.142857,3.857143,7.857143,95.285714,43.857143,11,34
1988,154,82,160,24,4,5.459088,2,49,75000,155,71,R,611,75,42,0,12,3,11,51.5,103,16,4,1,68750,155,71,377,43.5,25,0.5,9,1.5,8,94.5,30,1,24
1998,70,0,0,0,0,-0.068375,0,0,1100000,200,80,R,0,0,0,0,0,0,0,0,0,0,0,0,602500,200,80,0,0,0,0,0,0,0,61,0,4,37
2012,12,0,0,0,0,0.065223,0,0,481250,190,72,R,0,0,0,0,0,0,0,0,0,0,0,0,481250,190,72,0,0,0,0,0,0,0,12,0,2,28
2014,32,0,0,0,0,0.025143,0,0,7000000,185,72,L,4,1,0,0,0,0,0,0,0.111111,0,0,0,4877444.444444,185,72,2,0.777778,0,0,0.111111,0,0,22.666667,0.111111,10,30
1995,143,108,145,33,10,18.24512,16,64,3333333,170,73,L,554,111,87,4,4,2,3,58.5,95.25,19,5.25,8.5,1130833.25,170,73,375.625,68.5,52,3.375,6.125,3.5,3,106.375,41.25,7,31
1993,46,1,4,1,0,0.386547,0,4,172500,185,73,R,36,19,1,0,3,0,0,0.5,2.5,0.5,0,0,155500,185,73,26.5,16.5,1,0,2,0,0,37.5,2,3,28
2008,4,1,1,0,0,1.046775,1,1,390000,195,74,L,8,3,1,0,0,0,0,1,1,0,0,1,390000,195,74,8,3,1,0,0,0,0,4,1,2,25
2006,32,22,39,6,3,3.177913,2,19,8033333,187,70,B,113,27,10,0,1,2,0,32,64.5,13.25,2.25,3.25,7033333,187,70,242.5,46.5,17.5,1.5,3.5,2,1.5,67.75,23.5,2,31
2007,31,12,13,2,0,2.830609,2,6,415000,185,73,B,70,18,5,0,1,0,0,9,15,3.25,0.75,1,347500,185,73,67.25,13.25,5.75,0.5,1,0.25,0.25,28.25,4.75,4,29
2006,48,19,43,4,1,6.759623,7,23,8000000,295,74,B,172,39,11,0,0,1,3,52.363636,109.090909,23.363636,2.545455,14,3845818.181818,295,74,377.454545,69.909091,30.454545,5.090909,0.272727,2.818182,11.636364,107.090909,54.454545,10,33
