mysql> select gameID, COUNT(*) FROM AllStarFull GROUP BY gameID;
+--------------+----------+
| gameID       | COUNT(*) |
+--------------+----------+
| NULL         |       49 |
| ALS193307060 |       36 |
| ALS193507080 |       41 |
| ALS193707070 |       48 |
| ALS193907110 |       51 |
| ALS194107080 |       52 |
| ALS194307130 |       53 |
| ALS194607090 |       52 |
| ALS194807130 |       53 |
| ALS195007110 |       50 |
| ALS195107100 |       50 |
| ALS195407130 |       55 |
| ALS195607100 |       52 |
| ALS195807080 |       50 |
| ALS196007110 |       61 |
| ALS196007130 |       61 |
| ALS196107310 |       57 |
| ALS196207100 |       52 |
| ALS196307090 |       53 |
| ALS196507130 |       53 |
| ALS196707110 |       53 |
| ALS196907230 |       59 |
| ALS197107130 |       61 |
| ALS197307240 |       61 |
| ALS197507150 |       57 |
| ALS197707190 |       62 |
| ALS197907170 |       62 |
| ALS198108090 |       61 |
| ALS198307060 |       60 |
| ALS198507160 |       60 |
| ALS198707140 |       58 |
| ALS198907110 |       60 |
| ALS199107090 |       59 |
| ALS199307130 |       58 |
| ALS199507110 |       61 |
| ALS199707080 |       61 |
| ALS199907130 |       64 |
| ALS200107100 |       63 |
| ALS200307150 |       70 |
| ALS200507120 |       68 |
| ALS200807150 |       67 |
| ALS201007130 |       82 |
| ALS201207100 |       74 |
| ALS201407150 |       81 |
| NLS193407100 |       41 |
| NLS193607070 |       43 |
| NLS193807060 |       48 |
| NLS194007090 |       53 |
| NLS194207060 |       53 |
| NLS194407110 |       54 |
| NLS194707080 |       53 |
| NLS194907120 |       51 |
| NLS195207080 |       53 |
| NLS195307140 |       53 |
| NLS195507120 |       51 |
| NLS195707090 |       50 |
| NLS195907070 |       51 |
| NLS195908030 |       63 |
| NLS196107110 |       50 |
| NLS196207300 |       59 |
| NLS196407070 |       52 |
| NLS196607120 |       53 |
| NLS196807090 |       53 |
| NLS197007140 |       58 |
| NLS197207250 |       62 |
| NLS197407230 |       59 |
| NLS197607130 |       58 |
| NLS197807110 |       61 |
| NLS198007080 |       61 |
| NLS198207130 |       57 |
| NLS198407100 |       58 |
| NLS198607150 |       57 |
| NLS198807120 |       59 |
| NLS199007100 |       58 |
| NLS199207140 |       57 |
| NLS199407120 |       59 |
| NLS199607090 |       59 |
| NLS199807070 |       63 |
| NLS200007110 |       69 |
| NLS200207090 |       64 |
| NLS200407130 |       68 |
| NLS200607110 |       71 |
| NLS200707100 |       66 |
| NLS200907140 |       72 |
| NLS201107120 |       84 |
| NLS201307160 |       78 |
+--------------+----------+
86 rows in set (0.01 sec)

mysql> 
