@relation 'newest_weka_batters_no_null-weka.filters.unsupervised.attribute.Remove-R1,23-weka.filters.unsupervised.attribute.NumericToNominal-R19'

@attribute lgID {NL,AL}
@attribute yearID numeric
@attribute AB numeric
@attribute R numeric
@attribute H numeric
@attribute 2B numeric
@attribute 3B numeric
@attribute HR numeric
@attribute RBI numeric
@attribute SB numeric
@attribute CS numeric
@attribute BB numeric
@attribute SO numeric
@attribute IBB numeric
@attribute SH numeric
@attribute SF numeric
@attribute GIDP numeric
@attribute G numeric
@attribute GP {0,1}
@attribute height numeric
@attribute weight numeric
@attribute age numeric
@attribute num_years_in_league numeric
@attribute previous_appearances numeric

@data
NL,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,75,205,23,0,0
NL,2006,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,45,0,75,205,25,2,0
AL,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,75,205,26,3,0
AL,2008,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,47,0,75,205,27,4,0
AL,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,75,205,28,5,0
AL,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,75,205,29,6,0
AL,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,75,205,31,8,0
NL,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,75,205,32,9,0
NL,1955,602,105,189,37,9,27,106,3,1,49,61,5,7,4,20,153,1,72,180,21,1,0
NL,1956,609,106,200,34,14,26,92,2,4,37,54,6,5,7,21,153,1,72,180,22,2,1
NL,1957,615,118,198,27,6,44,132,1,1,57,58,15,0,3,13,151,1,72,180,23,3,2
NL,1958,601,109,196,34,4,30,95,4,1,59,49,16,0,3,21,153,1,72,180,24,4,3
NL,1959,629,116,223,46,7,39,123,8,0,51,54,17,0,9,19,154,1,72,180,25,5,4
NL,1960,590,102,172,20,11,40,126,16,7,60,63,13,0,12,8,153,1,72,180,26,6,5
NL,1961,603,115,197,39,10,34,120,21,9,56,64,20,1,9,16,155,1,72,180,27,7,6
NL,1962,592,127,191,28,6,45,128,15,7,66,73,14,0,6,14,156,1,72,180,28,8,7
NL,1963,631,121,201,29,4,44,130,31,5,78,94,18,0,5,11,161,1,72,180,29,9,8
NL,1964,570,103,187,30,2,24,95,22,4,62,46,9,0,2,22,145,1,72,180,30,10,9
NL,1965,570,109,181,40,1,32,89,24,4,60,81,10,0,8,15,150,1,72,180,31,11,10
